Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC26, TC35 Possible to Log In via Google Account without Registration", andriidereviannyi@gmail.com, bug, 5, "Login via Google Account proceeds regardless of user being registered or not", "Account for unregistered user is created", Open, 
"TC29, TC38 Possible to Log In via Facebook Account without Registration", andriidereviannyi@gmail.com, bug, 5, "Login via Facebook Account proceeds regardless of user being registered or not", "Account for unregistered user is created", Open, 
"TC45, TC56 Impossible to Enter Promocode", andriidereviannyi@gmail.com, bug, 3, "Cannot input promocode in text field", "", Open, 
"TC46, TC57 Impossible to Enter Instructions", andriidereviannyi@gmail.com, bug, 3, "Cannot input instructions in text field", "", Open, 
"TC47, TC58 Impossible to Checkout with PayPal", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC48, TC59 Impossible to Checkout with Google Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC49, TC60 Impossible to Checkout with Apple Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC50, TC61 Impossible to Leave a Review", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "No way to leave a review", Open, 
"TC62, TC72 Impossible to Sign Up for Test Drive", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to sign up application", "", Open, 
"TC63, TC73 Impossible to Sign Up for Driving Lessons with email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC64, TC74 Impossible to Sign Up for Driving Lessons Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC65, TC75 Impossible to Sign Up for Driving Lessons with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC66, TC76 Impossible to Log In for Driving Lessons with email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC67, TC77 Impossible to Log In for Driving Lessons Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC68, TC78 Impossible to Log In for Driving Lessons with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC69, TC79 Impossible to Sign Up for a Warranty Maintenance", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC70, TC80 Impossible to Sign Up for a Post-Warranty Maintenance", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC71, TC81 Impossible to Sign Up for a No Warranty Maintenance", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
