Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC44, TC54 Possible to Log In via Google Account without Registration", andriidereviannyi@gmail.com, bug, 5, "Login via Google Account proceeds regardless of user being registered or not", "Account for unregistered user is created", Open, 
"TC47, TC57 Possible to Log In via Facebook Account without Registration", andriidereviannyi@gmail.com, bug, 5, "Login via Facebook Account proceeds regardless of user being registered or not", "Account for unregistered user is created", Open, 
"TC151, TC162 Impossible to Enter Promocode", andriidereviannyi@gmail.com, bug, 2, "Cannot input promocode in text field", "", Open, 
"TC152, TC163 Impossible to Enter Instructions", andriidereviannyi@gmail.com, bug, 3, "Cannot input instructions in text field", "", Open, 
"TC153, TC164 Impossible to Checkout with PayPal", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC154, TC165 Impossible to Checkout with Google Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC155, TC166 Impossible to Checkout with Apple Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC156, TC177 Impossible to Leave a Review", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "No way to leave a review", Open, 
"TC212, TC223 Impossible to Sign Up for Test Drive", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to sign up application", "", Open, 
"TC213, TC224 Impossible to Sign Up for Driving Lessons with email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC214, TC225 Impossible to Sign Up for Driving Lessons Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC215, TC226 Impossible to Sign Up for Driving Lessons with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC216, TC227 Impossible to Log In for Driving Lessons with email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC217, TC228 Impossible to Log In for Driving Lessons Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC218, TC229 Impossible to Log In for Driving Lessons with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to payment - Buy Now bitton is inactive", Open, 
"TC219, TC230 Impossible to Sign Up for a Warranty Maintenance", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC220, TC231 Impossible to Sign Up for a Post-Warranty Maintenance", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC221, TC232 Impossible to Sign Up for a No Warranty Maintenance", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC222, TC233 Impossible to Rent a Scooter", andriidereviannyi@gmail.com, bug, 5, "Cannot Proceed to Rent Scooter page", "Service is unavailable", Open, 
"TC240 Cannot Move Map", andriidereviannyi@gmail.com, bug, 3, "Map doesn't react to user imputs", "", Open, 
"TC248, TC267 Impossible to Contact Store", andriidereviannyi@gmail.com, bug, 3, "Button doesn't do anything", "", Open, 
"TC249, TC268 Impossible to Learn More about Product Information and Warranty", andriidereviannyi@gmail.com, bug, 3, "Button doesn't do anything", "Placeholder text present", Open, 
"TC250, TC269 Impossible to Learn More about Return and Exchange Policy", andriidereviannyi@gmail.com, bug, 3, "Button doesn't do anything", "", Open, 
"TC251, TC270 Impossible to Learn More about Privacy and Security", andriidereviannyi@gmail.com, bug, 3, "Button doesn't do anything", "Placeholder text present", Open, 
"TC262 Cannot Change Profile Banner", andriidereviannyi@gmail.com, bug, 3, "Cannot find banner icon", "Profile banner is uninteractible", Open, 
"TC275, TC318 Impossible to View Video in Profile About Section", andriidereviannyi@gmail.com, bug, 3, "About window appears", "", Open, 
"TC285, TC328 Impossible to Add New Credit Card", andriidereviannyi@gmail.com, bug, 5, "Error when adding card", "", Open, 
"TC300, TC343 Impossible to navigate to Account page after changing URL", andriidereviannyi@gmail.com, bug, 5, "Error 404", "Profile button loads Profile page with old URL adress that no longer exist, Profile page with new URL exists, but is not reachable", Open, 
