Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC3 Impossible to sign up with email", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to sign up - option wasn't found", "Unreachable", Open, 
"TC4 Impossible to sign up with Google Account", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to sign up - option wasn't found", "Unreachable", Open, 
"TC5 Impossible to sign up with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to sign up - option wasn't found", "Unreachable", Open, 
"TC6 Impossible to log in with email", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC7 Impossible to log in with email", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC8 Impossible to log in with Google Account", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC9 Impossible to log in with Google Account", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC10 Impossible to log in with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC11 Impossible to log in with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC12 Impossible to log out", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to log in - option wasn't found", "Unreachable", Open, 
"TC19 Callendar content fails to load", andriidereviannyi@gmail.com, bug, 5, "Callendar page contents fail to load", "", Open, 
"TC20 Service content fails to load", andriidereviannyi@gmail.com, bug, 5, "Service page contents fail to load", "", Open, 
"TC29 Wrong Products in Electric Scooters", andriidereviannyi@gmail.com, bug, 5, "Wrong products present, probably wrong label in db", "", Open, 
"TC30 Wrong Products in Ride Safety", andriidereviannyi@gmail.com, bug, 5, "Wrong products present, probably wrong label in db", "Mostly spare parts displayed", Open, 
"TC46 Impossible to proceed to payment", andriidereviannyi@gmail.com, bug, 5, "Page stuck on infinite load", "Unreachable", Open, 
"TC50 Impossible to Sign Up for Tariff Plan", andriidereviannyi@gmail.com, bug, 5, "Not set up yet", "Unrachable", Open, 
