Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC12 Website Cannot Handle 500 Concurrent Users", andriidereviannyi@gmail.com, bug, 2, "Error 429", "", Open, 
"TC26 Header English Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Home page button title in header nav menu is in Ukrainian 2.Typo in Video Reviews button title in header nav menu", "", Open, "https://drive.google.com/file/d/1NUQJK2xpEVe7RJS9u0FIXB1pwbziCwby/view?usp=drive_link"
"TC27 Footer English Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1. Copyright information is in Ukrainian", "", Open, "https://drive.google.com/file/d/1_7Z1WSgq-VxauLG8jzjLBc4rfgdfguXe/view?usp=drive_link"
"TC28 Home Page English Localization Issues", andriidereviannyi@gmail.com, bug, 2, ""1.Electric Scooters showcase section title is in Ukrianian 2.Contact Us section is in Ukrainian"", "", Open, "https://drive.google.com/file/d/18diYJOhQgmee7y6COl-syoEVnKJX7fN_/view?usp=drive_link"
"TC29 Shop Page English Localization Issues", andriidereviannyi@gmail.com, bug, 2, ""1. Some store item titles are in Ukrainian 2. Label typos"", "", Open, "https://drive.google.com/file/d/1nnp9tW7LcD13NVTYQGPcy7ChCcJ89Hi_/view?usp=drive_link"
"TC34 Support Page Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Contact Support section is in Ukrainian", "", Open, "https://drive.google.com/file/d/14W51dvUjbtOuT2_nJxgqjfE1Q13EZnBE/view?usp=drive_link"
"TC47 Header Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Home page button title in header nav menu is in Ukrainian 2.Nav menu is not translated", "", Open, "https://drive.google.com/file/d/1f_4COkJ8wwac70ws8w4AV3O8CiFPKMrf/view?usp=drive_link"
"TC48 Footer Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Subscribe form is in English 2.Copyright information is in Ukrainian", "", Open, "https://drive.google.com/file/d/12eCXbLwQYm2IbilMShATwKLiAFyulYgH/view?usp=drive_link"
"TC49 Home Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Banner is in English 2.Electric Scooters showcase section title is in Ukrianian 3.About Us section is in English 4.Contact Us section is in Ukrainian", "", Open, "https://drive.google.com/file/d/1Ef8p2SZ2PpgJ_sBzyDiBYfl0uppNmOYg/view?usp=drive_link"
"TC50 Shop Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Some store item titles are in Ukrainian 2.Store items are in English 3.Labels are in English", "", Open, "https://drive.google.com/file/d/1GTEK0mwcaHz3soQHwzJYKLeWeH6nEw1i/view?usp=drive_link" 
"TC51 Video Reviews Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Video Reviews text is in English", "", Open, "https://drive.google.com/file/d/1fzSilF85hf7sAX4RVRnsUh0UcD2qm8o5/view?usp=drive_link"
"TC52 Our Services Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Service options are in English", "", Open, "https://drive.google.com/file/d/1ITu7gx5UZ7_XURw3uAlWqe0y1kjdybmy/view?usp=drive_link"
"TC53 About Us Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC54 FAQ Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC55 Support Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Contact Support section title is in Englsih and text fields are in Ukrainian", "", Open, "https://drive.google.com/file/d/1--r4hY1TAN6lFVoU2VP-MPmbr7gsSlvm/view?usp=drive_link"
"TC56 Store Policies Localization Spanish Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC57 Careers Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC58 Profile Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Profile nav menu is in English", "", Open, "https://drive.google.com/file/d/1fzSilF85hf7sAX4RVRnsUh0UcD2qm8o5/view?usp=drive_link"
"TC62 My Bookings Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "My Bookings section is in English", "", Open, "https://drive.google.com/file/d/1ewZjKD1_j9Vz0YTO_QvMy9e9feGF6jka/view?usp=drive_link"
"TC67 Settings Page Spanish Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Settings section is in English", "", Open, "https://drive.google.com/file/d/1p7ooMh82igHpno_dU2IkkTzLUgFvqds5/view?usp=drive_link"
"TC68 Header French Localisation Issues", andriidereviannyi@gmail.com, bug, 2, "1.Home page button title in header nav menu is in Ukrainian 2.Nav menu is not translated", "", Open, "https://drive.google.com/file/d/1H80o_OEqs4zR7d9pjjDsmrCRvvLzZdnp/view?usp=drive_link"
"TC69 Footer French LOcalization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Subscribe form is in English 2.Copyright information is in Ukrainian", "", Open, "https://drive.google.com/file/d/1z3BFCfXvahmplCB0nfIfCFarOCf-Jww1/view?usp=drive_link"
"TC70 Home Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Banner is in English 2.Electric Scooters showcase section title is in Ukrianian 3.About Us section is in English 4.Contact Us section is in Ukrainian", "", Open, "https://drive.google.com/file/d/1bZqIrKagG9hw8YpqOWZ9vxk4wmk7VP_c/view?usp=drive_link"
"TC71 Shop Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Some store item titles are in Ukrainian 2.Store items are in English 3.Labels are in English", "", Open, "https://drive.google.com/file/d/1ZxgkzMrnbMPJDhjBieqwI4tPYNRGUJ7C/view?usp=drive_link"
"TC72 Video Reviews Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Video Reviews text is in English", "", Open, "https://drive.google.com/file/d/1YP6oZu4ZHGid5lzHJdUI6qfYfB_dNH0U/view?usp=drive_link"
"TC73 Our Services French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Service options are in English", "", Open, "https://drive.google.com/file/d/1ZkN7iAGYASp398OCgSvxIYsLyiG4BEjk/view?usp=drive_link"
"TC74 About Us Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC75 FAQ Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC76 Support Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Contact Support section title is in Englsih and text fields are in Ukrainian", "", Open, "https://drive.google.com/file/d/1eTjJjlqFzMGBOvlergJONLJLwxsjDa02/view?usp=drive_link"
"TC77 Store Policies Page French LOcalization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC78 Careers Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC79 Profile Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Profile nav menu is in English", "", Open, "https://drive.google.com/file/d/12okI4iNeHwbwkF0rBJw0bkT1TuFT8-l7/view?usp=drive_link"
"TC83 My Bookimg Page French Localization Issues", andriidereviannyi@gmail.com, bug, 2, "My Bookings section is in English", "", Open, "https://drive.google.com/file/d/1_TTNQII3cH4338anMuK0OfmS2X5r_V9S/view?usp=drive_link"
"TC88 Settings Page french Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Settings section is in English", "", Open, "https://drive.google.com/file/d/1VFuupid2oLLs-3ceLkUO90DvXzPdvJrh/view?usp=drive_link"
"TC89 Header Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Nav menu is not translated", "", Open, "https://drive.google.com/file/d/1_cYwpvqouFhHf2i_4PyXZm34sY28duuh/view?usp=drive_link"
"TC90 Footer Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Subscribe form is in English", "", Open, "https://drive.google.com/file/d/1O1F6YSeOWyBRcrD9yxBYIm8FPfux5bQK/view?usp=drive_link"
"TC91 Home Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "1.Banner is in English 2.About Us section is in English 3.Map buttons are in English", "", Open, "https://drive.google.com/file/d/1NIpldO3tpYl3hQGoaTjI-Sx0ckz83jIx/view?usp=drive_link"
"TC92 Shop Page Ukrainian Localization Page", andriidereviannyi@gmail.com, bug, 2, "1. Store items are in English 2.Labels are in English", "", Open, "https://drive.google.com/file/d/1nb-rFUHaU9hNXNjiUnWshdh5ctsTRvj7/view?usp=drive_link"
"TC93 Video Reviews Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Video Reviews text is in English", "", Open, "https://drive.google.com/file/d/1FHfonGhufum3yA9wxWvQaO4YmclLMZFq/view?usp=drive_link"
"TC94 Our Services Ukrainian Localization Page", andriidereviannyi@gmail.com, bug, 2, "Service options are in English", "", Open, "https://drive.google.com/file/d/1iXBS4eAHOApfQZBdI50yvH86zHoJLaQ0/view?usp=drive_link"
"TC95 About Us Page Ukranian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC96 FAQ Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC97 Support Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Contact Support section title is in Englsih", "", Open, "https://drive.google.com/file/d/1WxG2ffJOPgeipyimGzG2GyYBlxLbv003/view?usp=drive_link"
"TC98 Store Policies Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC99 Careers Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Page is fully in English", "", Open, 
"TC100 Profile Page Ukrainian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "Profile nav menu is in English", "", Open, "https://drive.google.com/file/d/1Wqnu3Vfb6Eyd36-jJeDHWch7kbJec3b9/view?usp=drive_link"
"TC104 My Bookings Page Ukraininian Localization Issues", andriidereviannyi@gmail.com, bug, 2, "My Bookings section is in English", "", Open, "https://drive.google.com/file/d/1NNOS7QglmctLq0nUIvJ8dJmYG_71K_Sb/view?usp=drive_link"
"TC109 Settings Page Ukrainian Localization Issues ", andriidereviannyi@gmail.com, bug, 2, "Settings section is in English", "", Open, "https://drive.google.com/file/d/14ISkkUtJbdQBy_Wp4YLotrWZgwRIGe54/view?usp=drive_link"
"TC110 Header UI/UX Issues", andriidereviannyi@gmail.com, bug, 2, "1.Store icon white background 2.Notification button overlaps store icon 3.Hearder takes too much space: Language selector dropdown button is misalligned", "", Open, "https://drive.google.com/file/d/1RutbcVTEKXTARauYN_BL46i16cgzcUrB/view?usp=drive_link"
