Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC9 Impossible to Reach Shop Page", andriidereviannyi@gmail.com, bug, 5, "Error 404 Shop Page Not Found", "Can return to Home page with Go Home button", Open, 
"TC18 Possible to Log In with Incorrect Data", andriidereviannyi@gmail.com, bug, 5, "Log in proceeds regardless of incorrect user login data", "", Open, 
"TC23 Impossible to Add Name and Surname", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC24 Impossible to Add Phone Number", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC25 Impossible to Add Adress", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC26 Impossible to Connect Google Account", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC27 Impossible to Connect Facebook Account", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC28 Impossible to Change Email", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC29 Impossible to Change Password", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC30 Impossible to Change Name and Surname", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC31 Impossible to Change Phone Number", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC32 Impossible to Change Adress", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC33 Impossible to Unlink Google Account", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC34 Impossible to Unlink Facebook Account", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC35 Impossible to Set Up 2FA", andriidereviannyi@gmail.com, bug, 5, "My Profile page is unreachable", "My Profile navigation button doesn't exist", Open, 
"TC36 Possible to Log In with Incorrect 2FA", andriidereviannyi@gmail.com, bug, 5, "Log in proceeds regardless of incorrect 2FA", "", Open, 
"TC37 Impossible to Browse Shop Page", andriidereviannyi@gmail.com, bug, 5, "Error 404 Shop Page Not Found", "Can return to Home page with Go Home button", Open, 
"TC44 Impossible to Quick Checkout with Google Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC45 Impossible to Quick Checkout with Apple Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC46 Impossible to Checkout with Google Pay with Email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC47 Impossible to Checkout with Google Pay with 2FA", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC48 Impossible to Checkout with Apple Pay Pay with Email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC49 Impossible to Checkout with Apple Pay Pay with 2FA", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC50 Impossible to Checkout with Google Pay with Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC51 Impossible to Checkout with Google Pay with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC52 Impossible to Checkout with Apple Pay Pay with Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC53 Impossible to Checkout with Apple Pay Pay with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC54 Impossible to Checkout with Google Pay with Customer Logged In", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC55 Impossible to Checkout with Apple Pay with Customer Logged In", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC56 Impossible to Leave a Review", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "No Way to Leave a Review", Open, 
"TC57 Impossible to Sign Up for a Test Drive", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC58 Impossible to Sign Up for a Warranty Maintenance", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC59 Impossible to Sign Up for a Post-Warranty Maintanence", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC60 Impossible to Sign Up for a No Warranty Maintenance", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
