Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC4, TC10 Possible to Log In with Incorrect Data", andriidereviannyi@gmail.com, bug, 5, "Log in proceeds regardless of incorrect user login data", "", Open, 
"TC16, TC32 Impossible to Quick Checkout with Google Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC17, TC33 Impossible to Quick Checkout with Apple Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC18, TC34 Impossible to Checkout with Google Pay with Email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC19, TC35 Impossible to Checkout with Apple Pay Pay with Email", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC20, TC36 Impossible to Checkout with Google Pay with Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC21, TC37 Impossible to Checkout with Google Pay with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC22, TC38 Impossible to Checkout with Apple Pay Pay with Google Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC23, TC39 Impossible to Checkout with Apple Pay Pay with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC24, TC40 Impossible to Checkout with Google Pay with Customer Logged In", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC25, TC41 Impossible to Checkout with Apple Pay with Customer Logged In", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot Proceed to Payment", Open, 
"TC26, TC42 Impossible to Leave a Review", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "No Way to Leave a Review", Open, 
"TC27, TC43 Impossible to Sign Up for a Test Drive", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC28, TC44 Impossible to Sign Up for a Warranty Maintenance", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC29, TC45 Impossible to Sign Up for a Post-Warranty Maintanence", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC30, TC46 Impossible to Sign Up for a No Warranty Maintenance", andriidereviannyi@gmail.com, bug, 3, "Action Blocked", "Cannot Proceed to Sign Up Application", Open, 
"TC54, TC63 Impossible to Reach Shop Page", andriidereviannyi@gmail.com, bug, 5, "Error 404 Shop Page Not Found", "Can return to Home page with Go Home button", Open, 
