Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"TC3 Impossible to sign up with email", andriidereviannyi@gmail.com, bug, 5, "Currently there is no way to sign up into app directly - only posiible through Wix Spaces app", "", Open, 
"TC4 Impossible to sign up with Google Account", andriidereviannyi@gmail.com, bug, 5, "Currently there is no way to sign up into app directly - only posiible through Wix Spaces app", "", Open, 
"TC5 Impossible to sign up with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Currently there is no way to sign up into app directly - only posiible through Wix Spaces app", "", Open, 
"TC6 Impossible to log in with email", andriidereviannyi@gmail.com, bug, 5, "Currently there is no way to log in into app directly - only posiible through Wix Spaces app", "", Open, 
"TC7 Impossible to log in with Google Account", andriidereviannyi@gmail.com, bug, 5, "Currently there is no way to log in into app directly - only posiible through Wix Spaces app", "", Open, 
"TC8 Impossible to log in with Facebook Account", andriidereviannyi@gmail.com, bug, 5, "Currently there is no way to log in into app directly - only posiible through Wix Spaces app", "", Open, 
"TC23 Impossible to check appointments", andriidereviannyi@gmail.com, bug, 5, "Schedule page contents fail to load ", "", Open, 
"TC25 Impossible to proceed to Test Drive", andriidereviannyi@gmail.com, bug, 3, "Services page contents fails to load", "", Open, 
"TC26 Impossible to proceed to Scooter Service", andriidereviannyi@gmail.com, bug, 3, "Services page contents fails to load", "", Open, 
"TC28 Cannot view any groups", andriidereviannyi@gmail.com, bug, 3, "Join request under moderation", "Blocked", Open, 
"TC54 Impossible to enter user information during Checkout", andriidereviannyi@gmail.com, bug, 5, "Cannot reach Checkout page", "Unreachable", Open, 
"TC55 Impossible to pay with PayPal", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to payment options", "Unreachable", Open, 
"TC56 Impossible to pay with Google Pay", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to payment options", "Unreachable", Open, 
"TC57 Impossible to pay with Apple Pay", andriidereviannyi@gmail.com, bug, 5, "Cannot proceed to payment options", "Unreachable", Open, 
"TC58 Impossible to sign up for driving lessons", andriidereviannyi@gmail.com, bug, 5, "Unable to proceed to Checkout", "Only possible to arrange appointment through message but page doesn't load", Open, 
"TC59 Impossible to sign up for scooter rental", andriidereviannyi@gmail.com, bug, 5, "Unable to proceed to Checkout", "Only possible to arrange appointment through message but page doesn't load", Open, 
